chrom	locus	3D_x	3D_y	3D_z
2	YBL068W	119.560	103.867	91.014
2	YBL065W	120.910	109.378	93.009
2	YBL063W	121.444	111.002	93.604
2	YBL062W	122.554	113.806	94.596
2	YBL060W	123.229	115.517	95.012
2	YBL059W	123.509	116.992	94.686
2	YBL058W	123.509	116.992	94.686
2	YBL056W	123.234	117.388	93.805
2	YBL054W	122.418	117.358	91.277
2	YBL053W	122.437	117.465	90.710
2	YBL050W	124.660	119.489	87.192
2	YBL049W	125.207	119.965	86.736
2	YBL048W	125.467	120.209	86.534
2	YBL046W	127.582	122.836	85.466
2	YBL044W	128.534	124.866	85.728
2	YBL043W	128.822	125.513	85.855
2	YBL041W	129.295	125.602	85.362
2	YBL039W-B	129.324	125.014	84.906
2	YBL038W	129.155	122.635	83.315
2	YBL037W	129.067	121.935	82.773
2	YBL032W	126.878	115.566	73.408
2	YBL031W	126.585	114.992	72.206
2	YBL029W	125.694	113.318	68.588
2	YBL027W	125.350	112.693	67.450
2	YBL026W	124.553	111.269	65.340
2	YBL025W	124.553	111.269	65.340
2	YBL024W	123.942	110.191	64.055
2	YBL020W	120.952	104.962	58.569
2	YBL019W	120.350	103.901	57.227
2	YBL016W	119.715	102.311	51.786
2	YBL015W	120.403	103.134	50.152
2	tI(AAU)B	121.381	104.403	48.552
2	YBL013W	123.555	107.361	45.160
2	YBL011W	124.150	108.202	44.265
2	YBL009W	125.353	110.118	42.133
2	YBL008W-A	125.659	110.850	41.133
2	YBL008W	125.789	111.305	40.436
2	YBL006W-A	125.127	113.666	35.012
2	YBL005W	125.127	113.666	35.012
2	YBL005W-A	124.109	113.724	32.422
2	YBL005W-B	124.109	113.724	32.422
2	tS(AGA)B	122.031	111.492	29.983
2	YBL004W	121.872	111.266	29.946
2	YBL002W	119.680	107.458	32.980
2	YBR003W	120.431	106.940	36.433
2	YBR005W	121.996	108.109	37.426
2	YBR006W	123.152	108.995	38.151
2	YBR010W	127.024	111.202	43.561
2	YBR012W-A	127.732	111.119	46.318
2	YBR012W-B	127.732	111.119	46.318
2	tT(AGU)B	126.970	109.003	51.159
2	YBR016W	126.675	108.018	54.481
2	YBR020W	129.600	109.511	61.205
2	YBR021W	130.347	109.548	62.246
2	YBR022W	132.007	109.245	64.233
2	YBR024W	135.177	108.482	67.217
2	YBR030W	141.686	109.969	71.498
2	YBR031W	143.521	110.523	72.704
2	YBR032W	144.608	110.818	73.464
2	YBR033W	144.247	110.723	73.208
2	TLC1	148.756	111.678	76.830
2	YBR038W	150.803	111.846	79.157
2	YBR039W	152.933	111.685	82.558
2	YBR040W	153.096	111.647	82.948
2	YBR041W	153.436	111.524	84.107
2	YBR047W	147.994	109.246	92.737
2	YBR048W	147.263	108.931	93.045
2	YBR051W	143.289	107.324	93.867
2	YBR054W	138.452	107.694	94.386
2	tL(UAA)B2	134.939	109.033	94.551
2	YBR056W	135.311	108.971	94.546
2	tQ(UUG)B	133.154	108.926	94.524
2	YBR056W-A	132.812	108.821	94.509
2	YBR064W	128.803	103.966	100.116
2	YBR071W	130.699	99.349	102.538
2	YBR072W	131.445	99.486	103.461
2	YBR073W	131.800	99.736	103.962
2	YBR074W	132.765	100.746	105.454
2	YBR076W	133.166	101.399	106.820
2	YBR078W	132.284	100.694	106.524
2	tR(UCU)B	128.407	93.394	100.815
2	tD(GUC)B	128.407	93.394	100.815
2	YBR083W	129.117	91.738	99.213
2	YBR084W	129.942	91.629	98.806
2	YBR085W	132.519	92.835	98.773
2	YBR087W	138.224	96.498	100.881
2	YBR089W	139.532	97.356	101.789
2	YBR094W	142.914	100.892	105.511
2	YBR096W	143.908	103.179	107.895
2	YBR097W	143.908	103.179	107.895
2	YBR098W	143.813	103.374	110.429
2	YBR103W	142.400	100.031	112.059
2	YBR104W	142.495	99.599	112.511
2	YBR106W	143.392	99.977	113.148
2	YBR108W	144.181	100.629	113.448
2	YBR109W-A	146.635	102.289	114.368
2	YBR110W	146.418	102.232	114.260
2	YBR111W-A	147.748	101.771	115.169
2	YBR113W	148.136	99.729	116.029
2	YBR114W	148.007	98.759	116.333
2	YBR118W	142.607	94.103	116.837
2	YBR119W	142.375	93.882	116.889
2	YBR124W	146.196	93.719	118.284
2	YBR126W-A	148.422	94.696	119.317
2	YBR126W-B	148.422	94.696	119.317
2	YBR131W	150.479	98.265	121.948
2	YBR134W	149.033	98.432	124.763
2	YBR135W	149.033	98.432	124.763
2	YBR136W	148.278	97.879	125.325
2	YBR137W	143.577	95.940	125.220
2	YBR139W	141.724	95.599	124.175
2	YBR141W-A	137.802	91.468	125.155
2	YBR142W	137.692	91.225	125.236
2	YBR145W	135.721	88.587	124.521
2	YBR146W	134.938	87.879	123.814
2	YBR147W	133.799	86.925	122.782
2	YBR148W	133.506	86.682	122.542
2	YBR149W	132.301	85.694	121.652
2	YBR151W	128.391	82.581	119.675
2	YBR152W	128.092	82.345	119.580
2	YBR153W	127.581	81.942	119.462
2	YBR155W	126.814	81.324	119.580
2	YBR158W	128.646	82.604	123.309
2	YBR159W	129.550	83.207	124.752
2	YBR160W	130.201	83.611	125.867
2	YBR161W	130.828	83.974	127.010
2	YBR162W-A	132.199	84.669	129.768
2	YBR163W	132.375	84.767	130.125
2	YBR165W	133.129	85.364	131.427
2	YBR168W	133.819	86.504	131.909
2	YBR171W	133.872	88.731	129.669
2	YBR175W	132.683	88.719	127.802
2	YBR176W	131.694	88.154	126.872
2	YBR178W	130.251	87.151	125.834
2	YBR180W	128.976	86.759	125.456
2	YBR183W	129.190	89.372	128.195
2	YBR184W	129.315	89.607	128.512
2	YBR186W	130.687	90.660	131.046
2	YBR187W	131.615	90.637	132.315
2	YBR189W	132.705	90.249	133.585
2	YBR190W	132.981	90.108	133.888
2	YBR191W	133.226	89.969	134.161
2	YBR191W-A	133.769	89.568	134.800
2	YBR192W	133.886	89.440	134.953
2	YBR194W	133.992	88.836	135.268
2	YBR199W	130.525	87.776	132.525
2	YBR200W	130.279	88.141	132.200
2	YBR200W-A	130.539	88.830	132.231
2	YBR201W	131.066	89.559	132.487
2	YBR202W	131.846	90.456	132.927
2	YBR203W	132.969	92.596	133.783
2	YBR205W	131.999	94.297	133.884
2	YBR206W	131.462	94.573	133.783
2	YBR207W	131.166	94.704	133.730
2	YBR209W	126.870	97.130	135.116
2	tE(UUC)B	125.510	98.116	136.464
2	YBR210W	125.258	98.279	136.723
2	YBR212W	124.584	98.594	137.331
2	YBR213W	123.728	98.541	137.783
2	YBR214W	123.480	98.317	137.766
2	YBR215W	123.142	97.522	137.396
2	YBR217W	123.037	94.471	135.201
2	YBR221W-A	123.687	88.874	128.940
2	YBR223W-A	123.620	87.824	127.851
2	YBR224W	123.439	87.035	127.200
2	YBR225W	123.354	86.771	127.015
2	YBR228W	122.226	84.660	126.104
2	YBR230W-A	120.935	83.493	126.505
2	YBR233W	120.754	84.213	127.614
2	YBR233W-A	120.830	84.972	128.412
2	YBR235W	121.047	86.283	129.624
2	YBR237W	121.584	89.862	132.304
2	YBR242W	123.088	100.547	138.122
2	YBR244W	123.432	102.143	139.166
2	YBR246W	123.750	101.939	139.632
2	YBR250W	123.523	96.271	138.124
2	YBR251W	123.188	95.110	137.647
2	YBR252W	122.573	93.636	136.942
2	YBR253W	122.573	93.636	136.942
2	YBR255W	122.193	92.931	136.560
2	YBR257W	120.529	90.430	135.506
2	YBR259W	120.210	89.984	135.710
2	YBR263W	120.157	90.180	139.341
2	YBR265W	120.297	91.261	141.615
2	YBR267W	120.297	91.494	141.953
2	YBR268W	120.261	92.279	142.892
2	YBR271W	119.952	94.630	144.664
2	YBR274W	120.019	97.300	146.886
2	YBR278W	124.380	93.099	149.774
2	YBR279W	124.819	92.504	149.636
2	YBR282W	127.847	88.583	146.111
2	YBR284W	129.506	88.134	144.606
2	YBR285W	130.815	88.280	143.693
2	YBR286W	131.903	88.623	143.056
2	YBR287W	133.165	89.067	142.441
2	YBR289W	134.121	89.175	142.291
2	YBR290W	133.951	88.616	143.068
2	YBR293W	132.063	86.670	145.619
2	YBR294W	131.270	85.585	146.784
2	YBR295W	130.288	83.752	148.449
2	YBR297W	129.428	78.328	152.670
2	YBR299W	130.452	76.541	154.428
2	YBR301W	131.004	75.984	155.049
3	YCL076W	133.811	129.260	63.927
3	YCL075W	133.863	129.400	62.938
3	YCL074W	133.811	129.260	63.927
3	YCL069W	133.679	127.693	68.968
3	YCL066W	133.910	126.420	68.581
3	YCL065W	133.965	126.168	68.378
3	YCL063W	134.328	124.184	66.189
3	YCL058W-A	133.021	120.235	61.863
3	YCL057W	132.815	119.959	61.576
3	YCL055W	131.441	118.574	59.835
3	YCL054W	129.792	117.892	57.639
3	YCL051W	127.621	118.507	54.562
3	YCL048W-A	126.416	121.042	52.164
3	YCL048W	126.525	122.022	51.956
3	YCL046W	127.692	125.271	52.198
3	YCL042W	128.093	126.045	51.858
3	YCL040W	128.096	126.088	51.949
3	YCL039W	127.927	125.476	51.354
3	YCL036W	126.092	120.882	48.895
3	YCL034W	125.106	119.038	48.065
3	YCL032W	124.673	118.308	47.759
3	YCL028W	121.741	114.505	45.272
3	YCL027W	121.527	114.420	44.825
3	YCL024W	121.331	117.006	41.020
3	YCL021W-A	122.190	120.111	40.089
3	YCL019W	122.619	121.362	40.001
3	YCL020W	122.619	121.362	40.001
3	tL(CAA)C	123.999	124.235	38.566
3	YCL018W	124.127	124.392	38.307
3	YCL014W	125.327	124.721	34.608
3	YCL005W-A	130.274	125.856	26.854
3	YCL005W	130.614	125.806	26.577
3	YCL004W	130.875	125.660	26.412
3	YCL001W	131.163	125.075	26.416
3	YCL001W-A	131.138	124.102	26.865
3	YCL001W-B	131.138	124.102	26.865
3	YCR001W	130.726	122.416	28.016
3	YCR003W	130.418	120.639	29.797
3	tN(GUU)C	131.772	118.256	36.794
3	YCR008W	131.772	118.256	36.794
3	YCR012W	136.816	120.067	43.174
3	YCR016W	138.506	119.108	47.232
3	tM(CAU)C	138.460	116.293	51.250
3	YCR019W	138.007	114.596	53.265
3	YCR020W-B	137.403	113.105	54.844
3	snR65	129.068	105.107	65.429
3	YCR032W	129.263	105.728	67.472
3	YCR033W	131.274	107.258	72.057
3	YCR034W	133.822	109.005	75.241
3	YCR036W	134.936	109.892	76.307
3	YCR038W-A	137.616	111.956	78.707
3	YCR040W	137.720	111.902	78.971
3	YCR041W	137.732	111.827	79.088
3	YCR045W-A	135.512	107.462	80.251
3	YCR047W-A	135.541	106.369	81.142
3	YCR048W	135.627	106.201	81.370
3	YCR051W	136.707	105.551	83.079
3	YCR052W	136.707	105.551	83.079
3	YCR053W	138.071	105.510	84.765
3	YCR060W	140.962	108.194	88.547
3	YCR061W	141.509	109.669	89.328
3	tS(CGA)C	141.778	110.769	89.670
3	YCR063W	141.838	111.127	89.733
3	YCR065W	141.916	111.830	89.781
3	YCR066W	141.897	113.185	89.567
3	YCR068W	140.330	116.885	86.341
3	YCR069W	139.546	117.429	85.085
3	YCR073W-A	136.028	116.498	80.697
3	YCR075W-A	135.029	115.595	79.655
3	YCR079W	133.336	113.170	78.131
3	YCR081W	132.806	112.047	77.751
3	YCR082W	132.012	109.181	77.070
3	YCR083W	132.180	108.841	76.929
3	YCR085W	132.957	108.996	76.787
3	YCR086W	133.187	109.135	76.772
3	YCR087W	133.441	109.310	76.762
3	YCR088W	134.694	110.352	76.765
3	YCR089W	135.718	111.253	76.800
3	YCR091W	140.511	115.413	77.235
3	YCR093W	144.907	118.636	78.680
3	YCR094W	148.796	120.148	81.758
3	YCR095W-A	150.972	120.403	82.916
3	YCR097W	153.072	120.209	82.998
3	YCR097W-A	153.366	120.145	82.922
3	tT(AGU)C	153.950	119.988	82.704
3	YCR102W-A	153.244	121.885	81.538
3	YCR104W	152.451	122.494	81.570
3	YCR105W	151.658	123.102	81.602
4	YCR106W	129.509	36.714	64.599
4	YCR107W	131.357	36.300	64.866
4	YDL248W	131.704	36.122	64.867
4	YDL247W-A	131.704	36.122	64.867
4	YDL247W	131.704	36.122	64.867
4	YDL244W	131.704	36.122	64.867
4	YDL242W	131.704	36.122	64.867
4	YDL241W	131.704	36.122	64.867
4	YDL240W	131.704	36.122	64.867
4	YDL237W	131.704	36.122	64.867
4	YDL236W	131.704	36.122	64.867
4	YDL233W	131.704	36.122	64.867
4	YDL232W	131.704	36.122	64.867
4	YDL230W	131.704	36.122	64.867
4	YDL229W	131.704	36.122	64.867
4	YDL225W	131.704	36.122	64.867
4	YDL221W	131.704	36.122	64.867
4	YDL219W	131.704	36.122	64.867
4	YDL218W	131.704	36.122	64.867
4	YDL212W	131.704	36.122	64.867
4	tG(GCC)D1	131.704	36.122	64.867
4	YDL210W	131.704	36.122	64.867
4	YDL208W	131.704	36.122	64.867
4	YDL207W	131.704	36.122	64.867
4	YDL206W	131.704	36.122	64.867
4	YDL204W	131.704	36.122	64.867
4	YDL202W	131.704	36.122	64.867
4	YDL201W	131.704	36.122	64.867
4	YDL196W	131.704	36.122	64.867
4	YDL195W	131.704	36.122	64.867
4	YDL194W	131.704	36.122	64.867
4	YDL193W	131.704	36.122	64.867
4	YDL192W	131.704	36.122	64.867
4	YDL191W	131.704	36.122	64.867
4	YDL189W	131.704	36.122	64.867
4	YDL186W	131.704	36.122	64.867
4	YDL185W	131.704	36.122	64.867
4	YDL182W	131.704	36.122	64.867
4	YDL181W	131.704	36.122	64.867
4	YDL180W	131.704	36.122	64.867
4	YDL179W	131.704	36.122	64.867
4	YDL178W	131.704	36.122	64.867
4	YDL176W	131.704	36.122	64.867
4	YDL173W	131.704	36.122	64.867
4	YDL170W	131.704	36.122	64.867
4	YDL168W	131.704	36.122	64.867
4	YDL165W	131.704	36.122	64.867
4	YDL163W	131.704	36.122	64.867
4	YDL161W	131.704	36.122	64.867
4	YDL159W-A	131.704	36.122	64.867
4	YDL159W	131.704	36.122	64.867
4	YDL156W	131.704	36.122	64.867
4	YDL155W	131.704	36.122	64.867
4	YDL154W	131.704	36.122	64.867
4	YDL152W	131.704	36.122	64.867
4	YDL150W	131.704	36.122	64.867
4	YDL149W	131.704	36.122	64.867
4	YDL147W	131.704	36.122	64.867
4	YDL146W	131.704	36.122	64.867
4	YDL143W	131.704	36.122	64.867
4	YDL141W	131.704	36.122	64.867
4	YDL138W	131.704	36.122	64.867
4	YDL137W	131.704	36.122	64.867
4	YDL136W	131.704	36.122	64.867
4	YDL133W	131.704	36.122	64.867
4	YDL132W	131.704	36.122	64.867
4	YDL131W	131.704	36.122	64.867
4	YDL130W-A	131.704	36.122	64.867
4	YDL130W	131.704	36.122	64.867
4	YDL129W	131.704	36.122	64.867
4	YDL128W	131.704	36.122	64.867
4	YDL127W	131.704	36.122	64.867
4	YDL124W	131.704	36.122	64.867
4	YDL123W	131.704	36.122	64.867
4	YDL122W	131.704	36.122	64.867
4	YDL120W	131.704	36.122	64.867
4	YDL118W	131.704	36.122	64.867
4	YDL117W	131.704	36.122	64.867
4	YDL116W	131.704	36.122	64.867
4	YDL114W-A	131.704	36.122	64.867
4	YDL114W	131.704	36.122	64.867
4	YDL112W	131.704	36.122	64.867
4	YDL108W	131.704	36.122	64.867
4	YDL107W	131.704	36.122	64.867
4	YDL105W	131.704	36.122	64.867
4	YDL102W	131.704	36.122	64.867
4	YDL099W	131.704	36.122	64.867
4	YDL095W	131.704	36.122	64.867
4	YDL093W	131.704	36.122	64.867
4	YDL092W	131.704	36.122	64.867
4	YDL089W	131.704	36.122	64.867
4	YDL086W	131.704	36.122	64.867
4	YDL085W	131.704	36.122	64.867
4	YDL084W	131.704	36.122	64.867
4	YDL082W	131.704	36.122	64.867
4	YDL075W	137.710	35.109	64.626
4	YDL073W	140.320	37.683	64.656
4	YDL070W	140.667	40.483	64.299
4	YDL068W	140.197	41.380	64.072
4	YDL066W	139.436	42.258	63.790
4	YDL064W	137.769	43.697	63.274
4	YDL062W	136.066	45.131	62.830
4	YDL060W	134.343	46.561	62.463
4	YDL058W	131.586	48.775	62.012
4	YDL057W	129.543	49.282	60.887
4	YDL056W	129.342	48.782	60.367
4	tK(UUU)D	129.454	45.025	57.126
4	YDL051W	128.673	45.331	55.775
4	YDL047W	126.587	48.587	54.011
4	YDL046W	126.050	50.021	53.675
4	YDL045W-A	125.817	50.797	53.556
4	YDL041W	124.667	56.014	53.300
4	YDL034W	122.347	66.832	51.869
4	YDL032W	122.982	68.682	51.088
4	YDL031W	123.165	69.041	50.909
4	YDL030W	124.436	71.603	49.646
4	YDL029W	124.705	72.373	49.322
4	YDL026W	125.393	77.363	47.736
4	YDL025W-A	125.393	77.363	47.736
4	tA(AGC)D	125.730	81.251	46.039
4	YDL022W	125.996	82.209	45.283
4	YDL021W	126.470	83.336	44.099
4	YDL017W	126.202	88.665	37.022
4	YDL014W	125.075	89.925	35.601
4	YDL013W	124.388	91.115	34.036
4	YDL010W	124.159	92.232	32.320
4	YDL008W	124.197	92.658	31.592
4	tS(AGA)D1	124.822	94.234	28.542
4	YDL007W	124.831	94.405	28.186
4	YDL006W	124.770	94.500	27.974
4	YDL004W	123.817	94.128	28.567
4	YDL003W	123.169	93.677	29.384
4	YDL001W	122.274	92.773	31.007
4	YDR002W	122.719	90.514	34.833
4	YDR003W	123.150	90.125	35.461
4	YDR003W-A	123.150	90.125	35.461
4	YDR004W	123.665	89.732	36.088
4	YDR007W	126.128	87.214	40.116
4	YDR009W	126.548	86.540	41.197
4	YDR011W	127.068	85.381	43.058
4	YDR012W	126.256	82.735	46.814
4	YDR013W	125.254	81.921	47.767
4	YDR014W	124.616	81.526	48.188
4	YDR014W-A	122.727	80.272	49.398
4	YDR021W	121.859	74.913	53.947
4	YDR023W	122.498	72.492	55.914
4	YDR024W	122.761	71.453	56.759
4	YDR025W	122.848	71.107	57.041
4	YDR029W	125.813	65.368	61.743
4	YDR031W	126.778	64.767	62.249
4	YDR033W	131.112	63.490	63.263
4	tL(UAA)D	139.713	65.571	60.050
4	tQ(UUG)D1	140.114	65.611	59.926
4	YDR034W-B	140.521	65.637	59.811
4	YDR035W	140.932	65.651	59.707
4	YDR037W	143.937	65.374	59.243
4	YDR041W	155.775	60.750	60.572
4	YDR044W	159.301	56.116	63.546
4	YDR047W	160.360	52.894	65.676
4	YDR049W	160.546	51.781	66.401
4	YDR053W	160.111	46.051	69.700
4	YDR055W	159.058	43.363	70.782
4	YDR057W	158.449	42.211	71.145
4	tR(UCU)D	157.341	39.983	71.427
4	tD(GUC)D	157.341	39.983	71.427
4	YDR060W	156.602	38.220	71.161
4	YDR061W	155.848	35.891	70.025
4	YDR062W	155.576	34.965	69.338
4	YDR063W	154.572	33.476	68.421
4	YDR064W	154.572	33.476	68.421
4	YDR065W	153.543	32.761	68.176
4	YDR068W	151.462	32.104	68.356
4	YDR073W	144.707	32.371	70.470
4	YDR074W	143.490	32.696	70.933
4	YDR075W	140.374	33.823	72.344
4	YDR076W	140.007	33.957	72.555
4	YDR077W	138.248	34.580	73.745
4	YDR079W	136.311	35.225	75.461
4	YDR080W	135.708	35.415	76.102
4	YDR082W	132.525	36.996	79.313
4	YDR083W	131.097	38.193	80.371
4	YDR089W	128.776	41.501	81.083
4	YDR092W	132.621	38.442	78.039
4	YDR093W	133.455	37.593	77.402
4	YDR094W	135.785	34.768	75.651
4	YDR096W	136.498	33.453	75.134
4	YDR099W	135.990	22.942	76.938
4	YDR100W	136.814	21.964	76.680
4	YDR103W	137.941	20.797	76.600
4	YDR106W	138.243	22.333	81.313
4	YDR108W	139.058	23.547	83.312
4	YDR110W	142.774	24.792	85.320
4	YDR112W	145.515	25.134	85.408
4	YDR115W	147.367	25.156	84.789
4	YDR118W	149.456	24.947	83.324
4	YDR118W-A	150.437	24.891	82.485
4	YDR119W	150.732	24.936	82.235
4	YDR119W-A	150.828	25.369	82.158
4	YDR121W	150.009	26.069	82.867
4	YDR122W	149.452	26.435	83.347
4	YDR124W	146.076	28.072	85.784
4	YDR126W	143.401	28.841	87.199
4	YDR127W	142.998	28.926	87.381
4	YDR128W	139.604	28.677	89.398
4	YDR137W	137.079	25.863	96.037
4	YDR138W	134.937	27.198	96.853
4	YDR140W	132.304	28.804	97.335
4	YDR145W	132.054	27.593	94.612
4	YDR147W	135.581	25.952	93.945
4	YDR150W	138.932	25.497	94.609
4	YDR152W	146.565	21.856	95.520
4	YDR156W	148.204	20.719	95.993
4	YDR157W	148.082	20.773	95.894
4	YDR158W	148.204	20.719	95.993
4	YDR159W	148.424	20.708	96.359
4	YDR160W	147.831	22.187	98.262
4	YDR161W	147.967	23.403	99.497
4	YDR163W	148.377	23.994	100.084
4	YDR165W	150.219	25.331	101.376
4	YDR167W	152.285	26.691	102.517
4	YDR168W	152.299	26.888	102.623
4	YDR170W-A	148.450	25.850	102.168
4	YDR171W	150.936	24.516	102.830
4	YDR172W	151.577	24.075	103.009
4	YDR174W	153.669	21.770	103.678
4	YDR176W	154.078	20.888	103.849
4	YDR177W	154.393	19.401	104.081
4	YDR178W	154.341	18.915	104.157
4	YDR179W-A	154.063	18.325	104.255
4	YDR180W	153.320	17.796	104.353
4	YDR182W	147.887	18.076	104.451
4	YDR182W-A	146.585	18.410	104.455
4	YDR183W	146.156	18.537	104.457
4	YDR188W	141.265	20.611	104.480
4	YDR189W	140.237	21.050	104.573
4	YDR191W	139.945	20.725	105.033
4	YDR193W	141.267	19.430	105.615
4	YDR194W-A	142.704	17.651	105.994
4	YDR195W	142.766	17.440	105.980
4	YDR197W	142.540	16.540	105.651
4	YDR199W	141.087	15.811	104.690
4	YDR201W	139.972	15.596	104.073
4	YDR203W	138.614	15.506	103.641
4	YDR204W	138.303	15.518	103.609
4	YDR205W	138.003	15.545	103.607
4	YDR206W	136.226	16.130	104.438
4	YDR208W	133.998	18.474	107.891
4	YDR210W	132.553	19.884	108.493
4	YDR210W-B	132.004	20.379	108.474
4	YDR210W-A	132.004	20.379	108.474
4	tI(UAU)D	125.212	27.345	106.564
4	YDR211W	124.698	28.085	106.629
4	YDR212W	123.775	29.520	106.877
4	YDR213W	123.534	30.034	107.118
4	YDR214W	124.004	29.747	107.554
4	YDR216W	125.452	28.210	108.078
4	YDR221W	130.091	21.595	111.404
4	YDR222W	129.739	20.922	111.912
4	YDR223W	128.939	21.059	111.865
4	YDR225W	126.596	22.102	111.229
4	YDR226W	126.596	22.102	111.229
4	YDR227W	125.455	22.401	110.788
4	YDR229W	124.670	19.909	109.595
4	YDR230W	125.229	18.308	109.361
4	YDR232W	125.383	17.953	109.340
4	YDR234W	126.978	15.676	109.850
4	YDR235W	128.026	15.128	110.678
4	YDR237W	129.249	15.096	111.886
4	YDR241W	129.192	17.834	111.279
4	tY(GUA)D	129.047	18.106	111.101
4	YDR242W	128.903	18.379	110.937
4	YDR244W	127.607	20.912	110.125
4	YDR245W	127.177	21.787	110.119
4	YDR246W	126.747	22.677	110.245
4	YDR246W-A	126.324	23.564	110.498
4	YDR247W	126.085	24.030	110.709
4	YDR251W	125.584	24.413	111.959
4	YDR252W	125.664	23.682	112.673
4	YDR254W	126.021	22.005	113.693
4	YDR261W-A	130.494	11.035	115.423
4	YDR261W-B	130.494	11.035	115.423
4	tG(GCC)D2	133.963	13.303	118.678
4	YDR262W	133.553	13.680	118.436
4	YDR265W	130.270	15.762	116.506
4	YDR268W	125.844	18.445	115.065
4	YDR270W	124.756	19.118	114.891
4	YDR272W	123.377	20.305	114.852
4	YDR273W	123.292	20.541	114.936
4	YDR275W	123.422	20.809	115.143
4	YDR279W	126.750	20.593	117.308
4	YDR280W	127.619	20.016	118.249
4	YDR285W	129.021	17.255	122.742
4	YDR287W	127.716	19.169	122.111
4	YDR288W	126.893	20.204	121.500
4	YDR290W	126.377	20.627	121.035
4	YDR291W	126.082	20.742	120.723
4	YDR296W	128.025	16.111	119.060
4	YDR297W	128.753	16.179	119.506
4	YDR299W	129.618	16.634	120.465
4	YDR301W	129.694	17.512	121.514
4	YDR302W	128.826	19.360	123.546
4	YDR307W	130.789	18.941	127.908
4	YDR311W	137.209	17.055	133.808
